Spp#,SppCN,SppSN,ClimIndx,ModRely,ModCur,HadHiDif,PcmLoDif,Gcm3AvgHiDif,Gcm3AvgLoDif
743,bigtooth aspen,Populus grandidentata,4,1,0.09,-0.09,-0.00,-0.09,-0.05
746,quaking aspen,Populus tremuloides,4,1,0.10,-0.10,-0.10,-0.10,-0.10
761,pin cherry,Prunus pensylvanica,3.5,2,0.01,-0.01,-0.01,-0.01,-0.01
762,black cherry,Prunus serotina,3,1,3.71,-2.21,-1.51,-2.30,-1.94
763,chokecherry,Prunus virginiana,4,3,0.13,-0.13,-0.13,-0.13,-0.13
766,wild plum,Prunus americana,2.5,3,0.00,0.00,0.00,0.00,0.00
802,white oak,Quercus alba,3.5,1,5.22,-2.11,-0.76,-1.84,-1.04
804,swamp white oak,Quercus bicolor,4,3,0.00,-0.00,-0.00,-0.00,-0.00
806,scarlet oak,Quercus coccinea,3.5,1,1.73,-1.41,-0.76,-1.36,-1.15
808,Durand oak,Quercus durandii,3.5,3,0.00,0.00,0.00,0.00,0.00
809,northern pin oak,Quercus ellipsoidalis,4,2,0.00,0.00,0.00,0.00,0.00
812,southern red oak,Quercus falcata var.falcata,3.5,1,1.05,1.17,0.54,1.10,0.77
813,cherrybark oak,Quercus falcata var.pagodifolia,3,2,0.00,0.54,0.13,0.54,0.35
816,bear oak:scrub oak,Quercus ilicifolia,1,3,0.00,0.00,0.00,0.00,0.00
817,shingle oak,Quercus imbricaria,3.5,2,0.00,0.29,0.00,0.15,0.00
819,turkey oak,Quercus laevis,1.5,1,0.00,0.03,0.00,0.00,0.00
820,laurel oak,Quercus laurifolia,1,1,0.00,0.40,0.06,0.34,0.07
822,overcup oak,Quercus lyrata,0,2,0.00,0.12,0.00,0.23,0.02
823,bur oak,Quercus macrocarpa,0,2,0.00,0.23,0.00,0.02,0.00
824,blackjack oak,Quercus marilandica,3,2,0.10,1.99,0.81,1.89,1.17
825,swamp chestnut oak,Quercus michauxii,1,2,0.00,0.01,0.02,0.01,0.02
826,chinkapin oak,Quercus muehlenbergii,4,2,0.07,0.19,0.06,0.14,0.10
827,water oak,Quercus nigra,2.5,1,0.26,2.88,0.87,2.56,1.29
828,Nuttall oak,Quercus nuttallii,2.5,3,0.00,0.00,0.00,0.00,0.00
830,pin oak,Quercus palustris,4.5,2,0.20,0.26,-0.17,0.09,-0.16
831,willow oak,Quercus phellos,0,2,0.40,0.71,0.18,0.57,0.40
832,chestnut oak,Quercus prinus,2,1,3.10,-1.87,-1.19,-1.83,-1.53
833,northern red oak,Quercus rubra,2.5,1,2.88,-1.95,-0.86,-1.72,-1.22
834,Shumard oak,Quercus shumardii,3,3,0.00,0.68,0.00,0.71,0.06
835,post oak,Quercus stellata,4,1,0.52,7.28,2.68,7.21,4.44
837,black oak,Quercus velutina,1.5,1,3.18,-0.81,-0.21,-0.45,0.09
838,live oak,Quercus virginiana,4,2,0.00,0.00,0.00,0.00,0.00
842,bluejack oak,Quercus incana,2.5,2,0.00,0.00,0.00,0.00,0.00
901,black locust,Robinia pseudoacacia,0,3,1.39,-1.24,-0.49,-1.21,-0.79
921,peachleaf willow,Salix amygdaloides,1,3,0.00,0.00,0.00,0.00,0.00
922,black willow,Salix nigra,3,3,0.00,0.81,-0.00,0.62,0.08
931,sassafras,Sassafras albidum,4,1,2.28,-1.20,-0.72,-1.20,-0.95
935,American mountain-ash,Sorbus americana,2.5,2,0.00,0.00,0.00,0.00,0.00
951,American basswood,Tilia americana,1,2,0.17,-0.13,-0.02,-0.13,-0.06
971,winged elm,Ulmus alata,4.5,1,0.03,4.47,1.98,4.52,3.02
972,American elm,Ulmus americana,4.5,2,0.68,1.95,0.05,1.45,0.47
973,cedar elm,Ulmus crassifolia,3,3,0.00,0.60,0.00,0.70,0.19
975,slippery elm,Ulmus rubra,0,2,0.37,0.33,0.02,0.28,0.11
977,rock elm,Ulmus thomasii,3.5,3,0.00,0.00,0.00,0.00,0.00
